,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age
0,0,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582,126.2,5.0,12.5,0,0,1,9
1,1,Honda Jazz V,Chennai,2011,46000,First,13.0,1199,88.7,5.0,4.5,0,1,1,13
2,2,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248,88.76,7.0,6.0,0,0,1,12
3,3,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968,140.8,5.0,17.74,0,0,0,11
4,4,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461,63.1,5.0,3.5,0,0,1,11
5,5,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755,171.5,8.0,17.5,0,0,0,8
6,6,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598,103.6,5.0,5.2,0,0,1,11
7,7,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248,74.0,5.0,1.95,0,0,1,12
8,8,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462,103.25,5.0,9.95,0,1,1,6
9,9,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497,116.3,5.0,4.49,0,1,0,12
10,10,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248,74.0,5.0,5.6,0,0,1,9
11,11,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179,187.7,5.0,27.0,0,0,0,10
12,12,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179,115.0,5.0,17.5,0,0,0,12
13,13,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477,175.56,7.0,15.0,0,0,1,10
14,14,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498,98.6,5.0,5.4,0,0,1,8
15,15,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248,74.0,5.0,5.99,0,0,1,7
16,16,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461,83.8,5.0,6.34,0,0,1,10
17,17,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143,167.62,5.0,28.0,0,0,0,10
18,18,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995,190.0,5.0,18.55,0,0,0,10
19,19,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248,88.5,5.0,8.25,0,0,1,9
20,20,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984,177.01,5.0,23.5,0,1,0,9
21,21,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197,80.0,5.0,1.87,0,1,1,14
22,22,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598,103.6,5.0,2.85,0,1,0,14
23,23,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497,116.3,5.0,4.25,0,1,1,12
24,24,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461,63.1,5.0,4.25,0,0,1,12
25,25,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998,67.1,5.0,2.75,0,1,1,11
26,26,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199,88.7,5.0,9.9,0,1,1,6
27,27,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494,102.0,7.0,4.0,0,0,1,17
28,28,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461,108.45,5.0,7.75,0,0,1,11
29,29,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798,138.1,5.0,6.75,0,1,1,12
30,30,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696,184.0,7.0,12.5,0,0,0,11
31,31,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698,179.5,5.0,11.5,0,0,0,14
32,32,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598,103.5,5.0,6.98,0,1,1,10
33,33,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061,64.0,5.0,1.85,0,1,1,15
