,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Price_every_Year,Price_every_KM
0,0,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582,126.2,5.0,12.5,0,0,1,9,1.3888888888888888,0.3048780487804878
1,1,Honda Jazz V,Chennai,2011,46000,First,13.0,1199,88.7,5.0,4.5,0,1,1,13,0.34615384615384615,0.09782608695652174
2,2,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248,88.76,7.0,6.0,0,0,1,12,0.5,0.06896551724137931
3,3,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968,140.8,5.0,17.74,0,0,0,11,1.6127272727272726,0.4361937546102778
4,4,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461,63.1,5.0,3.5,0,0,1,11,0.3181818181818182,0.04023034747525834
5,5,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755,171.5,8.0,17.5,0,0,0,8,2.1875,0.4861111111111111
6,6,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598,103.6,5.0,5.2,0,0,1,11,0.4727272727272727,0.08070774483936054
7,7,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248,74.0,5.0,1.95,0,0,1,12,0.1625,0.02957592671237032
8,8,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462,103.25,5.0,9.95,0,1,1,6,1.6583333333333332,0.38728008718667284
9,9,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497,116.3,5.0,4.49,0,1,0,12,0.3741666666666667,0.07483333333333334
10,10,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248,74.0,5.0,5.6,0,0,1,9,0.6222222222222222,0.08692412765429032
11,11,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179,187.7,5.0,27.0,0,0,0,10,2.7,0.375
12,12,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179,115.0,5.0,17.5,0,0,0,12,1.4583333333333333,0.2058823529411765
13,13,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477,175.56,7.0,15.0,0,0,1,10,1.5,0.13636363636363638
