,Name,Year,Power,Seats,Car_Age,Kilometers_Driven
0,Hyundai Creta 1.6 CRDi SX Option,2015,126.2,5.0,9,41000
1,Honda Jazz V,2011,88.7,5.0,13,46000
2,Maruti Ertiga VDI,2012,88.76,7.0,12,87000
3,Audi A4 New 2.0 TDI Multitronic,2013,140.8,5.0,11,40670
4,Nissan Micra Diesel XV,2013,63.1,5.0,11,86999
5,Toyota Innova Crysta 2.8 GX AT 8S,2016,171.5,8.0,8,36000
6,Volkswagen Vento Diesel Comfortline,2013,103.6,5.0,11,64430
7,Tata Indica Vista Quadrajet LS,2012,74.0,5.0,12,65932
8,Maruti Ciaz Zeta,2018,103.25,5.0,6,25692
9,Honda City 1.5 V AT Sunroof,2012,116.3,5.0,12,60000
10,Maruti Swift VDI BSIV,2015,74.0,5.0,9,64424
11,Land Rover Range Rover 2.2L Pure,2014,187.7,5.0,10,72000
12,Land Rover Freelander 2 TD4 SE,2012,115.0,5.0,12,85000
13,Mitsubishi Pajero Sport 4X4,2014,175.56,7.0,10,110000
14,Honda Amaze S i-Dtech,2016,98.6,5.0,8,58950
15,Maruti Swift DDiS VDI,2017,74.0,5.0,7,25000
16,Renault Duster 85PS Diesel RxL Plus,2014,83.8,5.0,10,77469
17,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,167.62,5.0,10,78500
18,BMW 3 Series 320d,2014,190.0,5.0,10,32982
19,Maruti S Cross DDiS 200 Alpha,2015,88.5,5.0,9,55392
20,Audi A6 2011-2015 35 TFSI Technology,2015,177.01,5.0,9,55985
21,Hyundai i20 1.2 Magna,2010,80.0,5.0,14,45807
22,Volkswagen Vento Petrol Highline AT,2010,103.6,5.0,14,33000
23,Honda City Corporate Edition,2012,116.3,5.0,12,51920
24,Nissan Micra Diesel XV,2012,63.1,5.0,12,54000
25,Maruti Alto K10 2010-2014 VXI,2013,67.1,5.0,11,54000
26,Honda WRV i-VTEC VX,2018,88.7,5.0,6,37430
27,Toyota Innova 2.5 V Diesel 7-seater,2007,102.0,7.0,17,262000
28,Renault Duster 110PS Diesel RxZ Pack,2013,108.45,5.0,11,62000
29,Toyota Corolla Altis G,2012,138.1,5.0,12,87615
30,Mahindra Ssangyong Rexton RX7,2013,184.0,7.0,11,72000
31,Audi A6 2.7 TDI,2010,179.5,5.0,14,35000
32,Volkswagen Vento 1.6 Highline,2014,103.5,5.0,10,55431
