,Price,Price,Price,Price,Car_Age,Car_Age,Kilometers_Driven,Mileage,Price_every_KM
,mean,min,max,count,max,min,mean,median,mean
Year,,,,,,,,,
1998,1.63,0.45,3.9,3,26,26,81866.67,17.3,0.03
1999,0.84,0.77,0.9,2,25,25,105000.0,15.15,0.01
2000,1.18,0.55,1.95,4,24,24,112500.0,15.08,0.01
2001,0.92,0.7,1.45,5,23,23,139988.6,13.2,0.01
2002,1.32,0.51,3.65,12,22,22,76525.92,16.7,0.02
2003,2.55,0.5,16.11,16,21,21,83541.31,15.45,0.03
2004,1.99,0.45,7.1,27,20,20,93334.56,14.0,0.02
2005,2.26,0.45,10.0,44,19,19,91923.2,13.2,0.04
2006,3.6,0.69,59.0,69,18,18,100090.25,15.4,0.06
2007,3.43,0.75,29.0,106,17,17,87023.38,14.92,0.09
2008,4.05,0.6,40.88,163,16,16,84221.6,16.07,0.06
2009,5.25,0.8,36.0,193,15,15,80159.55,16.77,0.08
2010,5.48,0.5,42.91,330,14,14,74290.44,16.8,0.09
2011,6.81,0.44,120.0,455,13,13,69366.62,17.0,0.17
2012,7.46,0.53,70.0,558,12,12,69002.47,18.44,0.14
2013,8.84,1.2,75.0,631,11,11,64783.95,18.5,0.19
2014,9.74,1.0,90.0,784,10,10,56659.85,18.74,0.25
2015,11.32,1.5,100.0,734,9,9,53092.57,18.9,0.34
2016,11.78,1.8,79.0,734,8,8,43209.02,19.1,0.39
2017,13.83,1.6,160.0,582,7,7,44863.37,18.9,0.66
2018,15.88,2.9,93.67,294,6,6,24052.73,18.9,1.56
2019,19.6,2.02,97.07,101,5,5,20008.83,18.0,2.23
